code,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,pubDate,statDate
sh.600189,0.577121,0.422879,0.227311,0.10787100000000001,0.26476900000000003,,0.26476900000000003,2023-04-29,2023-03-31
sh.600190,0.15509,0.84491,0.365753,1.132088,0.406206,15.092711999999999,0.406206,2023-04-29,2023-03-31
sh.600191,0.16622,0.83378,0.7224520000000001,12.77399,0.167721,0.49272200000000005,0.167721,2023-04-28,2023-03-31
sh.600192,0.741985,0.258015,0.262934,-0.055255,0.19706500000000002,,0.19706500000000002,2023-04-29,2023-03-31
sh.600193,0.734436,0.26556399999999997,0.44277299999999997,9.74399,-0.997192,-18.701967,-0.997192,2023-04-29,2023-03-31
sh.600195,0.43095100000000003,0.569049,0.571647,53.813777,-0.14548599999999998,-1.1581709999999998,-0.14548599999999998,2023-04-29,2023-03-31
sh.600196,0.327623,0.672377,0.17027799999999998,6.04635,0.08033,0.7837029999999999,0.08033,2023-04-29,2023-03-31
sh.600197,0.5728840000000001,0.427116,0.750433,613.6729839999999,0.32929899999999995,1.610625,0.32929899999999995,2023-04-28,2023-03-31
sh.600198,0.598662,0.40133800000000003,0.07270499999999999,-30.219140000000003,0.008761,,0.008761,2023-04-28,2023-03-31
sh.600199,0.626105,0.373895,0.658804,,-0.003105,,-0.003105,2023-04-28,2023-03-31
sh.600200,0.705925,0.294075,0.404102,2.637996,-0.131276,-2.9117900000000003,-0.131276,2023-04-27,2023-03-31
sh.600201,0.436593,0.563407,0.680612,,-0.097094,-0.320498,-0.097094,2023-04-21,2023-03-31
sh.600202,0.731506,0.268494,0.284454,1.4525569999999999,0.289539,12.444927,0.289539,2023-04-29,2023-03-31
sh.600203,0.666072,0.333928,0.170547,-1.380172,-0.071149,,-0.071149,2023-04-29,2023-03-31
sh.600206,0.700292,0.299708,0.6052310000000001,7.358692,-0.131012,-10.971708999999999,-0.131012,2023-04-28,2023-03-31
sh.600207,0.414799,0.585201,0.422717,2.027862,-0.28702,-21.008315,-0.28702,2023-04-29,2023-03-31
sh.600208,0.560701,0.439299,0.31095500000000004,2.4066810000000003,-4.4329730000000005,-1.9877790000000002,-4.4329730000000005,2023-04-29,2023-03-31
sh.600210,0.546491,0.453509,0.416947,8.368082000000001,0.075225,1.254042,0.075225,2023-04-28,2023-03-31
sh.600211,0.7075,0.2925,0.613598,,0.42311000000000004,1.256023,0.42311000000000004,2023-04-28,2023-03-31
sh.600212,0.708821,0.291179,0.076192,-0.6763239999999999,-0.074544,,-0.074544,2023-04-29,2023-03-31
sh.600213,0.906904,0.093096,0.031160000000000004,-2.7962540000000002,0.084275,,0.084275,2023-04-29,2023-03-31
sh.600215,0.513872,0.48612799999999995,0.220473,7.852186,-0.199478,-1.6779990000000002,-0.199478,2023-04-29,2023-03-31
sh.600216,0.44920200000000005,0.550798,0.684288,9.351436999999999,0.009928,0.23711300000000002,0.009928,2023-04-26,2023-03-31
sh.600217,0.833442,0.16655799999999998,0.302605,0.374435,-0.108904,,-0.108904,2023-04-29,2023-03-31
sh.600218,0.781356,0.218644,0.504423,,-0.137966,-7.11411,-0.137966,2023-04-29,2023-03-31
sh.600219,0.531621,0.468379,0.661507,12.025086,0.045324,0.555685,0.045324,2023-04-29,2023-03-31
sh.600220,0.491758,0.508242,0.41191700000000003,1.07621,-0.065872,,-0.065872,2023-04-29,2023-03-31
sh.600221,0.174746,0.825254,-0.053193,,0.208015,31.565152,0.208015,2023-04-29,2023-03-31
sh.600222,0.555044,0.444956,0.30041999999999996,1.164794,-0.164671,-28.058901000000002,-0.164671,2023-04-29,2023-03-31
sh.600223,0.8548520000000001,0.145148,0.27763000000000004,4.056481,0.074239,0.613062,0.074239,2023-04-28,2023-03-31
sh.600225,0.5895020000000001,0.410498,0.21895900000000001,-0.21540700000000002,0.7114659999999999,,0.7114659999999999,2023-04-29,2023-03-31
sh.600226,0.31146799999999997,0.6885319999999999,0.850741,,-0.18698399999999998,-0.5745100000000001,-0.18698399999999998,2023-04-28,2023-03-31
sh.600227,0.274642,0.725358,0.508568,-6.653546,-0.099843,,-0.099843,2023-04-26,2023-03-31
sh.600228,0.9035790000000001,0.096421,0.838677,,-0.131102,,-0.131102,2023-04-29,2023-03-31
sh.600229,0.578232,0.42176800000000003,0.671308,,-0.160386,-1.0602719999999999,-0.160386,2023-04-29,2023-03-31
sh.600230,0.238308,0.761692,0.507668,10.828799,0.03723,0.590808,0.03723,2023-04-29,2023-03-31
sh.600231,0.412991,0.587009,0.403727,85.17985300000001,0.00785,0.9441370000000001,0.00785,2023-04-29,2023-03-31
sh.600232,0.755184,0.24481599999999998,0.6125109999999999,9.22489,-0.324307,-10.371727,-0.324307,2023-04-27,2023-03-31
sh.600233,0.37211,0.62789,0.545449,48.484031,0.10313399999999999,1.446438,0.10313399999999999,2023-04-26,2023-03-31
sh.600234,0.456676,0.543324,0.72345,,0.641026,,0.641026,2023-04-28,2023-03-31
sh.600235,0.466801,0.533199,0.620097,1.403809,0.02531,2.864122,0.02531,2023-04-26,2023-03-31
sh.600236,0.065925,0.934075,0.40876599999999996,3.665515,0.661217,3.8518440000000003,0.661217,2023-04-28,2023-03-31
sh.600237,0.6045159999999999,0.395484,0.628324,8.518149000000001,-0.09914500000000001,-1.225644,-0.09914500000000001,2023-04-28,2023-03-31
sh.600238,0.53163,0.46837,0.22003699999999998,-2.376445,-0.068857,,-0.068857,2023-04-29,2023-03-31
sh.600239,0.377011,0.622989,0.10288499999999999,3.737954,0.960312,2.47753,0.960312,2023-04-25,2023-03-31
sh.600241,0.6889149999999999,0.311085,0.783644,,-0.346236,-4.280725,-0.346236,2023-04-21,2023-03-31
sh.600243,0.5592189999999999,0.44078100000000003,0.665665,-21.485622,-0.272805,,-0.272805,2023-04-28,2023-03-31
sh.600246,0.402287,0.597713,0.5996819999999999,-0.234866,0.0075439999999999995,,0.0075439999999999995,2023-04-29,2023-03-31
sh.600248,0.8736520000000001,0.126348,0.051051,3.97865,-0.11233599999999999,-4.064908,-0.11233599999999999,2023-04-28,2023-03-31
sh.600249,0.709356,0.290644,0.802904,,-0.09421399999999999,-3.7922730000000002,-0.09421399999999999,2023-04-27,2023-03-31
sh.600250,0.347156,0.652844,0.098876,4.164776,0.087869,0.9662370000000001,0.087869,2023-04-29,2023-03-31
sh.600251,0.5288390000000001,0.47116099999999994,0.502366,17.564626,0.37342600000000004,1.6434369999999998,0.37342600000000004,2023-04-26,2023-03-31
sh.600252,0.587562,0.412438,0.463029,,0.11588699999999999,,0.11588699999999999,2023-04-28,2023-03-31
sh.600255,0.486457,0.5135430000000001,0.35187199999999996,-0.355786,-0.043845999999999996,,-0.043845999999999996,2023-04-14,2023-03-31
sh.600256,0.243339,0.7566609999999999,0.38017199999999995,12.595786,0.108445,0.723929,0.108445,2023-04-14,2023-03-31
sh.600257,0.44705600000000006,0.552944,0.173496,0.902603,0.038814,,0.038814,2023-04-26,2023-03-31
sh.600258,0.138787,0.8612129999999999,-0.02446,2.091222,0.5353899999999999,9.3801,0.5353899999999999,2023-04-28,2023-03-31
sh.600259,0.630946,0.369054,0.261996,1.397859,-0.080581,-269.130172,-0.080581,2023-04-29,2023-03-31
sh.600261,0.685826,0.31417399999999995,0.606362,13.396414000000002,-0.015761,-0.202976,-0.015761,2023-04-29,2023-03-31
sh.600262,0.865294,0.134706,0.330444,,0.789968,10.236957,0.789968,2023-04-25,2023-03-31
sh.600265,0.45825200000000005,0.541748,-0.026305000000000002,1.7164720000000002,-0.205835,-6.461646,-0.205835,2023-04-28,2023-03-31
sh.600266,0.8798819999999999,0.120118,0.143094,1.465403,3.942622,164.746346,3.942622,2023-04-28,2023-03-31
sh.600267,0.35791999999999996,0.64208,0.356998,6.211091000000001,0.099383,1.260553,0.099383,2023-04-25,2023-03-31
sh.600268,0.729989,0.270011,0.23403800000000002,3.8445970000000003,-0.47236999999999996,,-0.47236999999999996,2023-04-29,2023-03-31
sh.600269,0.304991,0.695009,0.447349,6.744708,0.390652,1.338174,0.390652,2023-04-26,2023-03-31
sh.600271,0.6885560000000001,0.311444,0.434626,92.30846700000001,-0.332422,-3.212457,-0.332422,2023-04-29,2023-03-31
sh.600272,0.46062,0.53938,0.501696,3.9416580000000003,-0.12405799999999999,-2.726858,-0.12405799999999999,2023-04-28,2023-03-31
sh.600273,0.366584,0.633416,0.7166680000000001,,0.032408,0.195654,0.032408,2023-04-29,2023-03-31
sh.600276,0.7247020000000001,0.275298,0.847382,,0.038958,0.17348,0.038958,2023-04-22,2023-03-31
sh.600277,0.215527,0.784473,0.439468,1.220634,0.09702100000000001,14.992573000000002,0.09702100000000001,2023-04-29,2023-03-31
sh.600278,0.7950510000000001,0.20494899999999996,0.346997,21.375432999999997,-0.011028,-0.8401620000000001,-0.011028,2023-04-29,2023-03-31
sh.600279,0.272983,0.727017,0.35569,1.621921,0.036622,5.181495,0.036622,2023-04-27,2023-03-31
sh.600280,0.54991,0.45009,0.026742000000000002,0.8633149999999999,0.259542,,0.259542,2023-04-28,2023-03-31
sh.600281,0.384789,0.615211,0.253917,-6.888853999999999,-0.6734220000000001,,-0.6734220000000001,2023-04-29,2023-03-31
sh.600282,0.412707,0.5872930000000001,0.24594499999999997,4.340441,0.019089,0.792064,0.019089,2023-04-28,2023-03-31
sh.600283,0.256358,0.743642,0.22430999999999998,9.021448,0.149833,0.8263229999999999,0.149833,2023-04-29,2023-03-31
sh.600284,0.697435,0.30256500000000003,0.25883,45.430162,-0.485386,-15.808578,-0.485386,2023-04-29,2023-03-31
sh.600285,0.5776680000000001,0.422332,0.498996,,0.103369,0.5654140000000001,0.103369,2023-04-26,2023-03-31
sh.600287,0.669111,0.330889,0.456638,4.973223,-0.120769,-5.324567,-0.120769,2023-04-29,2023-03-31
sh.600288,0.6966319999999999,0.30336799999999997,0.476894,6.174906,-0.241429,-12.100216,-0.241429,2023-04-26,2023-03-31
sh.600289,0.780411,0.21958899999999998,0.672887,,-1.51883,,-1.51883,2023-04-29,2023-03-31
sh.600290,0.44849799999999995,0.551502,-0.08556699999999999,-3.000972,-0.908917,,-0.908917,2023-04-29,2023-03-31
sh.600292,0.421289,0.578711,0.328947,2.856463,-0.019378,-0.477785,-0.019378,2023-04-22,2023-03-31
sh.600293,0.312623,0.687377,0.292914,-16.747407,-0.204867,,-0.204867,2023-04-25,2023-03-31
