code,date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
sh.600664,2023-07-21,3.22,16.718442,1.824469,0.564234,8.625372
sh.600665,2023-07-05,3.89,8.723429,0.763328,0.25119,-4.707696
sh.600665,2023-07-06,3.96,8.880405,0.7770640000000001,0.25571,-4.79241
sh.600665,2023-07-07,4.06,9.104658,0.796687,0.262167,-4.913431
sh.600665,2023-07-10,4.05,9.082233,0.794724,0.261521,-4.9013290000000005
sh.600665,2023-07-11,3.94,8.835555000000003,0.773139,0.254418,-4.768206
sh.600665,2023-07-12,3.8,8.521600999999999,0.745667,0.245378,-4.598778
sh.600665,2023-07-13,3.89,8.723429,0.763328,0.25119,-4.707696
sh.600665,2023-07-14,3.88,8.701003,0.761366,0.250544,-4.695594
sh.600665,2023-07-17,3.79,8.499176,0.7437050000000001,0.244732,-4.5866760000000015
sh.600665,2023-07-18,3.79,8.499176,0.7437050000000001,0.244732,-4.5866760000000015
sh.600665,2023-07-19,3.9,8.745854,0.7652899999999999,0.251835,-4.719798
sh.600665,2023-07-20,3.99,8.947681,0.7829510000000001,0.257647,-4.828717
sh.600665,2023-07-21,4.14,9.28406,0.812385,0.267333,-5.010247
sh.600666,2023-07-05,2.3,52.891084,3.687736,14.574304,1001.912123
sh.600666,2023-07-06,2.29,52.661123,3.671703,14.510938,997.555983
sh.600666,2023-07-07,2.28,52.431162,3.655669,14.447571,993.199843
sh.600666,2023-07-10,2.27,52.201201,3.639635,14.384205,988.843704
sh.600666,2023-07-11,2.3,52.891084,3.687736,14.574304,1001.912123
sh.600666,2023-07-12,2.29,52.661123,3.671703,14.510938,997.555983
sh.600666,2023-07-13,2.28,52.431162,3.655669,14.447571,993.199843
sh.600666,2023-07-14,2.27,52.201201,3.639635,14.384205,988.843704
sh.600666,2023-07-17,2.22,51.051395,3.559467,14.067372,967.063005
sh.600666,2023-07-18,2.24,51.511317,3.591534,14.194105,975.775285
sh.600666,2023-07-19,2.2,50.591472,3.5274,13.940639,958.350726
sh.600666,2023-07-20,2.2,50.591472,3.5274,13.940639,958.350726
sh.600666,2023-07-21,2.11,48.521821,3.383097,13.37034,919.145469
sh.600668,2023-07-05,11.53,13.632697,0.762039,1.189339,-17.383087
sh.600668,2023-07-06,11.49,13.585403,0.759396,1.1852129999999998,-17.322781
sh.600668,2023-07-07,11.49,13.585403,0.759396,1.1852129999999998,-17.322781
sh.600668,2023-07-10,11.54,13.644521,0.7627,1.1903700000000002,-17.398163
sh.600668,2023-07-11,11.56,13.668168,0.764022,1.192433,-17.428316
sh.600668,2023-07-12,11.33,13.396223999999998,0.748821,1.168708,-17.081559
sh.600668,2023-07-13,11.44,13.526284,0.756091,1.180055,-17.247398999999998
sh.600668,2023-07-14,11.45,13.538108,0.7567520000000001,1.181087,-17.262476
sh.600668,2023-07-17,11.45,13.538108,0.7567520000000001,1.181087,-17.262476
sh.600668,2023-07-18,11.49,13.585403,0.759396,1.1852129999999998,-17.322781
sh.600668,2023-07-19,11.54,13.644521,0.7627,1.1903700000000002,-17.398163
sh.600668,2023-07-20,11.53,13.632697,0.762039,1.189339,-17.383087
sh.600668,2023-07-21,11.6,13.715463,0.766666,1.196559,-17.488622
sh.600671,2023-07-05,7.93,-13.64205,-40.777442,9.187815,41.722316
sh.600671,2023-07-06,8.01,-13.779673999999998,-41.188816,9.280504,42.143222
sh.600671,2023-07-07,8.2,-14.106533,-42.165829,9.500641,43.142874
sh.600671,2023-07-10,8.21,-14.123736,-42.217251,9.512227,43.195488
sh.600671,2023-07-11,8.21,-14.123736,-42.217251,9.512227,43.195488
sh.600671,2023-07-12,8.23,-14.158142000000002,-42.320094,9.535399,43.300714
sh.600671,2023-07-13,8.33,-14.330173,-42.834312,9.651261,43.826847
sh.600671,2023-07-14,8.31,-14.295767,-42.731468,9.628088,43.72162
sh.600671,2023-07-17,8.29,-14.261361,-42.628625,9.604916,43.616394
sh.600671,2023-07-18,8.27,-14.226954999999998,-42.525781,9.581744,43.511167
sh.600671,2023-07-19,8.32,-14.312970000000002,-42.78289,9.639674,43.774233
sh.600671,2023-07-20,8.43,-14.502204,-43.348529,9.767122,44.352979
sh.600671,2023-07-21,8.66,-14.897875,-44.531229,10.033603,45.563084
sh.600675,2023-07-05,2.92,-130.310874,1.189372,7.730786,9.675319
sh.600675,2023-07-06,2.92,-130.310874,1.189372,7.730786,9.675319
sh.600675,2023-07-07,2.97,-132.542225,1.209738,7.863161999999999,9.840993
sh.600675,2023-07-10,2.97,-132.542225,1.209738,7.863161999999999,9.840993
sh.600675,2023-07-11,2.96,-132.095955,1.205665,7.836686999999999,9.807858
sh.600675,2023-07-12,2.92,-130.310874,1.189372,7.730786,9.675319
