code,year,quarter,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600061,2019,4.0,2020-03-27,2019-12-31,0.078624,5.238841000000002,0.046866000000000005,3500086436.08,0.702014,11267404539.83,4227129727.0,4173831926.0
sh.600061,2020,4.0,2021-04-02,2020-12-31,0.097993,4.904166,0.05295,4706347517.22,0.9813559999999999,14383823506.81,4227129727.0,4227129727.0
sh.600061,2021,4.0,2022-03-31,2021-12-31,0.100888,4.4564129999999995,0.003177,5308187406.33,0.745929,15527995652.28,6425301287.0,6425301287.0
sh.600061,2022,4.0,2023-03-25,2022-12-31,0.058459000000000004,1.791211,0.005357,3468864800.21,0.4578029999999999,12887387355.94,6425306159.0,6425306159.0
sh.600085,2019,4.0,2020-04-03,2019-12-31,0.106557,0.11761600000000001,0.4676439999999999,1561601328.39,0.718525,13277123199.46,1371470262.0,1371470262.0
sh.600085,2020,4.0,2021-03-30,2020-12-31,0.10819300000000001,0.126024,0.4704399999999999,1616363305.19,0.752069,14968892200.0,1371470262.0,1371470262.0
sh.600085,2021,4.0,2022-03-26,2021-12-31,0.11994500000000001,0.129477,0.476243,1890760459.07,0.894932,17116867700.0,1371470262.0,1371470262.0
sh.600085,2022,4.0,2023-03-28,2022-12-31,0.12707100000000002,0.143074,0.4880359999999999,2199390811.72,1.039623,18320371800.0,1371470262.0,1371470262.0
sh.600089,2019,4.0,2020-04-14,2019-12-31,0.0597409999999999,0.064639,0.20611500000000002,2390350344.93,0.543417,36176573832.72,3714312789.0,3714312789.0
sh.600089,2020,4.0,2021-04-15,2020-12-31,0.068618,0.072489,0.206098,3196437364.1,0.6695369999999999,43370178213.23,3714312789.0,3714312789.0
sh.600089,2021,4.0,2022-04-12,2021-12-31,0.1774,0.160148,0.302709,9813620784.13,1.914927,60346835293.45,3788550289.0,3788550289.0
sh.600089,2022,4.0,2023-04-25,2022-12-31,0.311781,0.23833200000000002,0.385907,22852908003.39,4.087803,94172930668.45,3885465706.0,3885465706.0
sh.600104,2019,4.0,2020-04-14,2019-12-31,0.1057839999999999,0.042695,0.1215079999999999,35288906907.63,2.191421,843324372577.26,11683461365.0,11503432857.0
sh.600104,2020,4.0,2021-03-26,2020-12-31,0.080152,0.040368,0.107591,29188050869.17,1.7487139999999999,742132450370.73,11683461365.0,11683461365.0
sh.600104,2021,4.0,2022-04-30,2021-12-31,0.091905,0.0446649999999999,0.09629,33941758857.55,2.099814,779845786393.56,11683461365.0,11683461365.0
sh.600104,2022,4.0,2023-04-29,2022-12-31,0.0582909999999999,0.031682,0.0961,22842652824.11,1.379518,744062883284.0399,11683461365.0,11683461365.0
sh.600111,2019,4.0,2020-04-28,2019-12-31,0.065528,0.035393,0.11400199999999999,640323241.95,0.1696349999999999,17991615747.69,3633066000.0,3633066000.0
sh.600111,2020,4.0,2021-04-15,2020-12-31,0.0829559999999999,0.04265,0.117372,906146027.51,0.229179,21158091363.96,3633066000.0,3633066000.0
sh.600111,2021,4.0,2022-04-15,2021-12-31,0.398066,0.18448599999999998,0.27836700000000003,5609931567.42,1.412042,30061067957.06,3633066000.0,3633066000.0
sh.600111,2022,4.0,2023-04-22,2022-12-31,0.34018400000000004,0.1706349999999999,0.277902,6357871497.91,1.655197,37090072244.66,3615065842.0,3615065842.0
sh.600115,2019,4.0,2020-04-01,2019-12-31,0.05215,0.028818,0.113023,3483000000.0,0.1950609999999999,116602000000.0,16379509203.0,9808485682.0
sh.600115,2020,4.0,2021-03-31,2020-12-31,-0.195989,-0.21409,-0.2074389999999999,-12554000000.0,-0.722549,56229000000.0,16379509203.0,9808485682.0
sh.600115,2021,4.0,2022-03-31,2021-12-31,-0.23180900000000002,-0.19789400000000001,-0.192382,-13284000000.0,-0.647119,64529000000.0,18874440078.0,9808485682.0
sh.600115,2022,4.0,2023-03-31,2022-12-31,-0.9293870000000001,-0.865303,-0.6178140000000001,-39900000000.0,-1.9807740000000005,46111000000.0,18874440078.0,11202731426.0
